Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2012,Texas,Republican Primary,Baselice & Associates,2011-10-31 to 2011-11-02,2011-10-31,2011-11-02,600,4.0,Tom Leppert,R,9%,False,"October 31 – November 2, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2012-01-12 to 2012-01-15,2012-01-12,2012-01-15,559,4.2,Tom Leppert,R,7%,False,"January 12–15, 2012"
2012,Texas,Republican Primary,UoT,2012-02-08 to 2012-02-15,2012-02-08,2012-02-15,366,5.12,Tom Leppert,R,7%,False,"February 8–15, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-04-19 to 2012-04-22,2012-04-19,2012-04-22,400,4.9,Tom Leppert,R,8%,False,"April 19–22, 2012"
2012,Texas,Republican Primary,DWBS,2012-04-27 to 2012-04-30,2012-04-27,2012-04-30,400,4.5,Tom Leppert,R,7%,False,"April 27–30, 2012"
2012,Texas,Republican Primary,UoT,2012-05,2012-05-01,2012-05-31,274,5.92,Tom Leppert,R,17%,False,May 2012
2012,Texas,Republican Primary,People Calling People,2012-05-15 to 2012-05-16,2012-05-15,2012-05-16,557,4.2,Tom Leppert,R,14%,False,"May 15–16, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-05-22 to 2012-05-23,2012-05-22,2012-05-23,482,4.5,Tom Leppert,R,15%,False,"May 22–23, 2012"
2012,Texas,Republican Primary,DWBS,2011-06-04 to 2011-06-05,2011-06-04,2011-06-05,450,4.62,Tom Leppert,R,11%,False,"June 4–5, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-06-25 to 2011-06-27,2011-06-25,2011-06-27,400,4.9,Tom Leppert,R,5%,False,"June 25–27, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2012-01-12 to 2012-01-15,2012-01-12,2012-01-15,559,4.2,Lela Pittenger,R,1%,False,"January 12–15, 2012"
2012,Texas,Republican Primary,UoT,2012-02-08 to 2012-02-15,2012-02-08,2012-02-15,366,5.12,Lela Pittenger,R,1%,False,"February 8–15, 2012"
2012,Texas,Republican Primary,UoT,2012-05,2012-05-01,2012-05-31,274,5.92,Lela Pittenger,R,3%,False,May 2012
2012,Texas,Republican Primary,People Calling People,2012-05-15 to 2012-05-16,2012-05-15,2012-05-16,557,4.2,Lela Pittenger,R,4%,False,"May 15–16, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2011-01-14 to 2011-01-16,2011-01-14,2011-01-16,400,4.9,Michael Williams,R,3%,False,"January 14–16, 2011"
2012,Texas,Republican Primary,UoT,2011-02-11 to 2011-02-17,2011-02-11,2011-02-17,374,5.07,Michael Williams,R,5%,False,"February 11–17, 2011"
2012,Texas,Republican Primary,UoT,2011-05-11 to 2011-05-18,2011-05-11,2011-05-18,388,4.98,Michael Williams,R,6%,False,"May 11–18, 2011"
2012,Texas,Republican Primary,Texas Lyceum,2011-05-24 to 2011-05-31,2011-05-24,2011-05-31,147,8.08,Michael Williams,R,0%,False,"May 24–31, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-01-14 to 2011-01-16,2011-01-14,2011-01-16,400,4.9,Roger Williams,R,1%,False,"January 14–16, 2011"
2012,Texas,Republican Primary,UoT,2011-02-11 to 2011-02-17,2011-02-11,2011-02-17,374,5.07,Roger Williams,R,2%,False,"February 11–17, 2011"
2012,Texas,Republican Primary,UoT,2011-05-11 to 2011-05-18,2011-05-11,2011-05-18,388,4.98,Roger Williams,R,2%,False,"May 11–18, 2011"
2012,Texas,Republican Primary,Texas Lyceum,2011-05-24 to 2011-05-31,2011-05-24,2011-05-31,147,8.08,Roger Williams,R,4%,False,"May 24–31, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-09-15 to 2011-09-18,2011-09-15,2011-09-18,400,4.9,Roger Williams,R,6%,False,"September 15–18, 2011"
2012,Texas,Republican Primary,Baselice & Associates,2011-10-31 to 2011-11-02,2011-10-31,2011-11-02,600,4.0,Roger Williams,R,2%,False,"October 31 – November 2, 2011"
2012,Texas,Republican Primary,DWBS,2011-06-04 to 2011-06-05,2011-06-04,2011-06-05,450,4.62,Roger Williams,R,6%,False,"June 4–5, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-06-25 to 2011-06-27,2011-06-25,2011-06-27,400,4.9,Roger Williams,R,2%,False,"June 25–27, 2011"
2012,Texas,Republican Primary,DWBS,2011-06-04 to 2011-06-05,2011-06-04,2011-06-05,450,4.62,Dan Patrick,R,19%,False,"June 4–5, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-06-25 to 2011-06-27,2011-06-25,2011-06-27,400,4.9,Dan Patrick,R,11%,False,"June 25–27, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2012-05-22 to 2012-05-23,2012-05-22,2012-05-23,482,4.5,Ted Cruz,R,34%,False,"May 22–23, 2012"
2012,Texas,Republican Primary,Wenzel Strategies,2012-07-10 to 2012-07-11,2012-07-10,2012-07-11,600,4.0,Ted Cruz,R,47%,False,"July 10–11, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-07-10 to 2012-07-11,2012-07-10,2012-07-11,468,4.5,Ted Cruz,R,49%,False,"July 10–11, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-07-28 to 2012-07-29,2012-07-28,2012-07-29,665,3.8,Ted Cruz,R,52%,False,"July 28–29, 2012"
