year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
2000,house,Colorado,CO,5,306309,Kerry Kantor,Libertarian,37719,12.3,False,False,False
2000,house,Colorado,CO,5,306309,Randy MacKenzie,Natural Law,15260,5.0,False,False,False
2000,house,Colorado,CO,6,262477,Tom Tancredo,Republican,141410,53.9,True,True,False
2000,house,Colorado,CO,6,262477,Ken Toltz,Democratic,,42.1,False,False,False
2000,house,Colorado,CO,6,262477,Adam D. Katz,Libertarian,,2.6,False,False,False
2000,house,Colorado,CO,6,262477,John Heckman,Independent,3614,1.4,False,False,False
2000,house,Connecticut,CT,1,,John B. Larson,Democratic,,71.0,True,True,False
2000,house,Connecticut,CT,1,,Bob Backlund,Republican,,29.0,False,False,False
2000,house,Connecticut,CT,2,,Rob Simmons,Republican,,51.0,True,False,False
2000,house,Connecticut,CT,2,,Sam Gejdenson,Democratic,,49.0,False,True,False
2000,house,Connecticut,CT,3,,Rosa DeLauro,Democratic,,73.0,True,True,False
2000,house,Connecticut,CT,3,,June Gold,Republican,,27.0,False,False,False
2000,house,Connecticut,CT,4,,Chris Shays,Republican,,58.0,True,True,False
2000,house,Connecticut,CT,4,,Stephanie Sanchez,Democratic,,41.0,False,False,False
2000,house,Connecticut,CT,5,,Jim Maloney,Democratic,,54.0,True,True,False
2000,house,Connecticut,CT,5,,Mark Nielsen,Republican,,45.0,False,False,False
2000,house,Connecticut,CT,6,,Nancy Johnson,Republican,,63.0,True,True,False
2000,house,Connecticut,CT,6,,Paul Valenti,Democratic,,33.0,False,False,False
2000,house,Connecticut,CT,6,,Audrey Cole,Green,,3.0,False,False,False
2000,house,Delaware,DE,AL,,Mike Castle,Republican,,68.0,True,True,False
2000,house,Delaware,DE,AL,,Michael Miller,Democratic,,31.0,False,False,False
2000,house,Delaware,DE,AL,,James P. Webster,Constitution,,0.8,False,False,False
2000,house,Delaware,DE,AL,,Brad C. Thomas,Libertarian,,0.8,False,False,False
2000,house,Florida,FL,1,227539,Joe Scarborough,Republican,226473,100.0,True,True,False
2000,house,Florida,FL,2,257403,Allen Boyd,Democratic,185579,72.0,True,True,False
2000,house,Florida,FL,2,257403,Doug Dodd,Republican,71754,28.0,False,False,False
2000,house,Florida,FL,3,177372,Corrine Brown,Democratic,102143,58.0,True,True,False
2000,house,Florida,FL,3,177372,Jennifer Carroll,Republican,75228,42.0,False,False,False
2000,house,Florida,FL,4,303286,Ander Crenshaw,Republican,203090,67.0,True,False,True
2000,house,Florida,FL,4,303286,Tom Sullivan,Democratic,94587,31.2,False,False,True
2000,house,Florida,FL,4,303286,Deborah Katz Pueschel,Independent,,1.8,False,False,True
2000,house,Florida,FL,5,280598,Karen Thurman,Democratic,180338,64.0,True,True,False
2000,house,Florida,FL,5,280598,Pete Enwall,Republican,100244,36.0,False,False,False
2000,house,Florida,FL,6,178972,Cliff Stearns,Republican,178789,100.0,True,True,False
2000,house,Florida,FL,7,270560,John Mica,Republican,171018,63.0,True,True,False
2000,house,Florida,FL,7,270560,Dan Vaughen,Democratic,99531,37.0,False,False,False
2000,house,Florida,FL,8,246593,Ric Keller,Republican,125253,51.0,True,False,True
2000,house,Florida,FL,8,246593,Linda Chapin,Democratic,121295,49.0,False,False,True
2000,house,Florida,FL,9,256794,Michael Bilirakis,Republican,210318,81.9,True,True,False
2000,house,Florida,FL,9,256794,Jon Duffey,Reform,46474,18.1,False,False,False
2000,house,Florida,FL,10,,Bill Young,Republican,,75.7,True,True,False
2000,house,Florida,FL,10,,Josette Green,Natural Law,,13.9,False,False,False
2000,house,Florida,FL,10,,Randy Heine,Independent,,10.5,False,False,False
2000,house,Florida,FL,11,,Jim Davis,Democratic,,84.6,True,True,False
2000,house,Florida,FL,11,,Charlie Westlake,Libertarian,,15.4,False,False,False
2000,house,Florida,FL,12,,Adam Putnam,Republican,,57.0,True,False,True
2000,house,Florida,FL,12,,Mike Stedem,Democratic,,43.0,False,False,True
2000,house,Florida,FL,13,,Dan Miller,Republican,,64.0,True,True,False
2000,house,Florida,FL,13,,Daniel Dunn,Democratic,,36.0,False,False,False
2000,house,Florida,FL,14,,Porter Goss,Republican,,85.2,True,True,False
2000,house,Florida,FL,14,,Sam Farling,Reform,,14.8,False,False,False
2000,house,Florida,FL,15,,Dave Weldon,Republican,,58.8,True,True,False
2000,house,Florida,FL,15,,Patsy Ann Kurth,Democratic,,39.2,False,False,False
2000,house,Florida,FL,15,,Gerry L Newby,Independent,,1.9,False,False,False
2000,house,Florida,FL,16,,Mark Foley,Republican,,60.2,True,True,False
