year,map_vintage,state,state_code,district,district_note,at_large,statewide_baseline,races_used,offices_used,senate_races,statewide_races,stateleg_races,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,lean_house_pct,lean_statewide_pct,lean_senate_pct,weight_house,weight_statewide,weight_senate,sources_used
2006,2000s,Florida,FL,FL-01,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-10.77,R+10.8,-29.94,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-02,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-03,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-04,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-11.15,R+11.2,-31.09,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-05,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.88,R+7.9,-21.28,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-06,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.89,R+7.9,-21.29,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-07,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-8.95,R+9.0,-24.49,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-08,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-5.78,R+5.8,-14.98,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-09,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-6.56,R+6.6,-17.32,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-10,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-9.9,R+9.9,-27.33,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
