state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,midterm_lean_pct,midterm_lean_label,total_votes_mean,races_used_mean,statewide_baseline
California,CA,CA-48,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-48,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
California,CA,CA-49,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-49,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-49,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
California,CA,CA-50,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-50,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-50,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
California,CA,CA-51,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-51,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-51,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
California,CA,CA-52,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-52,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-52,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
California,CA,CA-53,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-53,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
Colorado,CO,CO-01,,False,2000s,False,2006+2010,2,61.0,51.39,9.61,D+9.6,2564546,1.5,True
Colorado,CO,CO-01,,False,2010s,False,2014+2018,2,52.4,50.42,1.98,D+2.0,4549820,2.0,True
Colorado,CO,CO-01,,False,2020s,True,2022,1,57.14,50.42,6.72,D+6.7,12404157,5.0,True
Colorado,CO,CO-02,,False,2000s,False,2006+2010,2,61.0,51.39,9.61,D+9.6,2564546,1.5,True
Colorado,CO,CO-02,,False,2010s,False,2014+2018,2,52.4,50.42,1.98,D+2.0,4549820,2.0,True
Colorado,CO,CO-02,,False,2020s,True,2022,1,57.14,50.42,6.72,D+6.7,12404157,5.0,True
Colorado,CO,CO-03,,False,2000s,False,2006+2010,2,61.0,51.39,9.61,D+9.6,2564546,1.5,True
Colorado,CO,CO-03,,False,2010s,False,2014+2018,2,52.4,50.42,1.98,D+2.0,4549820,2.0,True
Colorado,CO,CO-03,,False,2020s,True,2022,1,57.14,50.42,6.72,D+6.7,12404157,5.0,True
Colorado,CO,CO-04,,False,2000s,False,2006+2010,2,61.0,51.39,9.61,D+9.6,2564546,1.5,True
Colorado,CO,CO-04,,False,2010s,False,2014+2018,2,52.4,50.42,1.98,D+2.0,4549820,2.0,True
Colorado,CO,CO-04,,False,2020s,True,2022,1,57.14,50.42,6.72,D+6.7,12404157,5.0,True
Colorado,CO,CO-05,,False,2000s,False,2006+2010,2,61.0,51.39,9.61,D+9.6,2564546,1.5,True
Colorado,CO,CO-05,,False,2010s,False,2014+2018,2,52.4,50.42,1.98,D+2.0,4549820,2.0,True
Colorado,CO,CO-05,,False,2020s,True,2022,1,57.14,50.42,6.72,D+6.7,12404157,5.0,True
Colorado,CO,CO-06,,False,2000s,False,2006+2010,2,61.0,51.39,9.61,D+9.6,2564546,1.5,True
Colorado,CO,CO-06,,False,2010s,False,2014+2018,2,52.4,50.42,1.98,D+2.0,4549820,2.0,True
Colorado,CO,CO-06,,False,2020s,True,2022,1,57.14,50.42,6.72,D+6.7,12404157,5.0,True
